tabla,columna,clasificacion,dtype,null_rate,n_unique,min,p50,p95,max
plantas,planta_id,identificadores,str,0.0,3,,,,
plantas,nombre_planta,estructurales,str,0.0,3,,,,
plantas,tipo_planta,estructurales,str,0.0,3,,,,
plantas,region,estructurales,str,0.0,2,,,,
plantas,intensidad_energetica_base,metricas,float64,0.0,3,524.97,571.73,620.375,625.78
plantas,criticidad_operativa,metricas,int64,0.0,2,4.0,4.0,4.9,5.0
plantas,estrategia_mejora_actual,estructurales,str,0.0,3,,,,
lineas_proceso,linea_id,identificadores,str,0.0,12,,,,
lineas_proceso,planta_id,identificadores,str,0.0,3,,,,
lineas_proceso,nombre_linea,estructurales,str,0.0,4,,,,
lineas_proceso,familia_proceso,estructurales,str,0.0,4,,,,
lineas_proceso,capacidad_nominal_hora,metricas,float64,0.0,12,6.14,8.81,10.5405,11.03
lineas_proceso,oee_objetivo,metricas,float64,0.0,12,79.56,83.97999999999999,88.2685,88.34
lineas_proceso,intensidad_energetica_objetivo,metricas,float64,0.0,12,294.97,532.76,749.834,786.53
lineas_proceso,criticidad_linea,metricas,int64,0.0,4,2.0,3.5,5.0,5.0
equipos,equipo_id,identificadores,str,0.0,72,,,,
equipos,linea_id,identificadores,str,0.0,12,,,,
equipos,tipo_equipo,estructurales,str,0.0,6,,,,
equipos,subsistema,estructurales,str,0.0,6,,,,
equipos,fecha_instalacion,temporales,str,0.0,71,,,,
equipos,potencia_nominal_kw,metricas,float64,0.0,72,220.08,577.635,2090.0115000000005,2282.18
equipos,disponibilidad_objetivo,metricas,float64,0.0,70,0.8862,0.93245,0.973205,0.9888
equipos,criticidad_equipo,metricas,int64,0.0,5,1.0,3.0,5.0,5.0
equipos,eficiencia_nominal,metricas,float64,0.0,66,0.8327,0.8769,0.937355,0.9594
consumos_energia_horarios,timestamp,temporales,str,0.0,17544,,,,
consumos_energia_horarios,planta_id,identificadores,str,0.0,3,,,,
consumos_energia_horarios,linea_id,identificadores,str,0.0,12,,,,
consumos_energia_horarios,equipo_id,identificadores,str,0.0,72,,,,
consumos_energia_horarios,fuente_energia,estructurales,str,0.0,2,,,,
consumos_energia_horarios,consumo_kwh,metricas,float64,0.0,1137089,50.3296,281.76914999999997,1331.6339349999996,2410.9439
consumos_energia_horarios,demanda_kw,metricas,float64,0.0,1137089,50.3296,281.76914999999997,1331.6339349999996,2410.9439
consumos_energia_horarios,factor_carga,metricas,float64,0.0,52196,0.26011,1.00452,1.13069,1.15
consumos_energia_horarios,energia_reactiva_proxy,metricas,float64,0.0,550197,5.5363,26.146,118.70982499999995,214.1758
consumos_energia_horarios,coste_energia_proxy,metricas,float64,0.0,779127,4.7726,42.30795,167.3876,367.8985
consumos_energia_horarios,precio_energia_proxy,metricas,float64,0.0,760558,60.6033,139.6311,199.2036,261.0593
produccion_turno,fecha,temporales,str,0.0,731,,,,
produccion_turno,turno,identificadores,str,0.0,3,,,,
produccion_turno,planta_id,identificadores,str,0.0,3,,,,
produccion_turno,linea_id,identificadores,str,0.0,12,,,,
produccion_turno,producto_familia,estructurales,str,0.0,12,,,,
produccion_turno,unidades_producidas,metricas,int64,0.0,1372,0.0,947.0,1435.0,1634.0
produccion_turno,toneladas_producidas_proxy,metricas,float64,0.0,25324,0.0,57.88955,74.403775,83.4357
produccion_turno,horas_planificadas,metricas,float64,0.0,1,8.0,8.0,8.0,8.0
produccion_turno,horas_operativas,metricas,float64,0.0,1160,0.0,8.0,8.0,8.0
produccion_turno,scrap_pct,metricas,float64,0.0,18530,0.6,2.82235,4.427925,6.7345
produccion_turno,reproceso_pct,metricas,float64,0.0,14040,0.2,1.3921,2.264625,3.6199
produccion_turno,velocidad_media_proceso,metricas,float64,0.0,22294,63.3061,95.88475,134.126025,136.375
produccion_turno,utilization_rate,metricas,float64,0.0,12693,0.05,0.9891449999999999,1.05,1.05
desvios_proceso,desvio_id,identificadores,str,0.0,5939,,,,
desvios_proceso,timestamp,temporales,str,0.0,5915,,,,
desvios_proceso,planta_id,identificadores,str,0.0,3,,,,
desvios_proceso,linea_id,identificadores,str,0.0,12,,,,
desvios_proceso,equipo_id,identificadores,str,0.0,72,,,,
desvios_proceso,variable_proceso,estructurales,str,0.0,11,,,,
desvios_proceso,valor_observado,metricas,float64,0.0,5794,1.2202,89.9302,797.6944599999999,1008.6065
desvios_proceso,valor_objetivo,metricas,float64,0.0,12,1.6,92.0,790.0,790.0
desvios_proceso,desviacion_pct,metricas,float64,0.0,5850,-34.6037,-0.8016,10.074489999999988,34.8063
desvios_proceso,severidad_desvio,estructurales,str,0.0,4,,,,
desvios_proceso,duracion_min,metricas,float64,0.0,5352,4.0,19.296,48.53249999999999,111.985
desvios_proceso,causa_probable_proxy,estructurales,str,0.0,5,,,,
desvios_proceso,impacto_en_calidad_proxy,metricas,float64,0.0,3763,0.02,0.2698,0.7527,0.98
paradas,parada_id,identificadores,str,0.0,1266,,,,
paradas,fecha_inicio,temporales,str,0.0,1243,,,,
paradas,fecha_fin,temporales,str,0.0,1266,,,,
paradas,planta_id,identificadores,str,0.0,3,,,,
paradas,linea_id,identificadores,str,0.0,12,,,,
paradas,equipo_id,identificadores,str,0.0,71,,,,
paradas,tipo_parada,estructurales,str,0.0,2,,,,
paradas,planificada_flag,booleanas,int64,0.0,2,0.0,0.0,1.0,1.0
paradas,causa_parada,estructurales,str,0.0,20,,,,
paradas,duracion_horas,metricas,float64,0.0,1077,0.35,2.432,7.305999999999999,14.0
paradas,impacto_produccion_proxy,metricas,float64,0.0,1248,1.72,20.695,63.8815,136.836
paradas,impacto_energia_proxy,metricas,float64,0.0,1266,9.312,311.39,1931.1972500000002,5742.09
mantenimientos,mantenimiento_id,identificadores,str,0.0,1383,,,,
mantenimientos,fecha_inicio,temporales,str,0.0,1318,,,,
