iniciativa_id,planta_id,linea_id,equipo_id,categoria_iniciativa,tipo_iniciativa,descripcion_resumida,expected_energy_saving,expected_oee_gain,expected_emissions_reduction,annual_saving_proxy,implementation_complexity_score,execution_risk_score,payback_months,strategic_alignment_score,operational_urgency_score,quick_win_flag,capex_estimado,implementation_complexity_score_scaling_method,operational_urgency_score_scaling_method,strategic_alignment_score_scaling_method,score_scale_version,opportunity_feature_comparability_tag
INI_0000001,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,16286.4165648,1.368,3418.667946457223,214552.9588611404,15.0,16.0,2.5,33.32631578947369,28.860113037415502,1,32927.74,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000002,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,6523.080272,3.135,910.8695775708019,196817.08001898005,51.47785755555555,74.0,4.12,39.0,25.38439875170122,0,93007.18,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000003,PLT_BIZ,PLT_BIZ_L01,,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,41906.157050400005,4.008,5304.361774066565,432098.101560012,52.79675955555555,54.0,4.24,44.886842105263156,26.631541608844078,0,211708.36,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000004,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,47574.226662999994,6.762,8891.637493393278,446929.09604663204,72.47184255555555,94.0,27.86,49.757894736842104,30.565827323129792,0,1442465.83,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000005,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,4010.821317,1.387,4965.076002074592,105384.59486576056,15.0,16.0,2.5,40.099999999999994,33.3546672798965,1,22150.41,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000006,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,2747.7058214,4.117,2024.1490601266196,139876.22153768913,51.68065633333333,74.0,6.97,45.892105263157895,31.25466727989651,0,111259.07,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000007,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,26423.790846,3.567,7422.281982693141,281481.0276217019,41.02539355555555,68.0,7.33,51.78026315789474,30.468952994182217,0,232285.42,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000008,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,136872.229684,3.912,12240.191009001675,602792.8077669619,92.95979355555555,100.0,32.48,66.03552631578948,30.961810137039357,0,2206381.42,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000009,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ06,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,9165.002462000002,1.247,3405.4219637667015,153336.92249724944,15.0,16.0,2.5,54.64868421052632,39.81635210325165,1,21674.09,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000010,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ01,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,3188.4995664000003,2.995,1659.838587693338,171315.15184313088,51.57452333333333,54.0,5.36,61.10394736842106,36.31349496039451,0,101707.1,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000011,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ01,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,34272.1091466,5.323,2710.4378895285995,386640.2158492186,53.24018455555556,74.0,5.77,62.63552631578948,39.6392092461088,0,251616.61,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000012,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ06,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,130491.77600750001,3.505,12181.175410282374,539458.2035350985,86.25506844444443,100.0,26.57,85.44210526315788,37.04206638896594,0,1602956.16,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000013,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ02,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,7968.4160256,0.952,2236.7046092507185,128435.29369961884,27.0,22.0,2.5,68.80526315789474,46.91630081629903,1,24582.39,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000014,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ02,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,2923.7239627000004,2.224,1396.1550163107136,143436.49800657926,39.90853933333334,68.0,7.78,67.25657894736842,42.66487224487045,0,131768.54,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000015,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ06,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,15438.8355475,2.17,4337.0073729181395,236082.68485431353,48.44053533333334,87.99999999999999,13.22,72.675,42.5877293877276,0,359648.18,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000016,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ02,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,122243.643609,4.784,12337.582640298662,507557.68873617233,84.827602,100.0,26.18,96.41578947368421,46.32201510201332,0,1474484.18,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000017,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ06,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,11156.732208,0.634,3287.771852752083,160460.51280466927,27.0,22.0,2.5,54.59078947368421,41.9024010048021,1,27344.07,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000018,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1554.1677120000002,1.638,745.8983608013575,109674.34286528242,58.08691411111111,54.0,13.03,60.00000000000001,36.813829576230674,0,147822.27,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
INI_0000019,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ03,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,21173.004169199998,4.865,2898.952494462013,356187.1196261617,41.28929577777778,68.0,6.41,54.01052631578948,41.42382957623067,0,256036.62,anchored_reference_linear,anchored_reference_linear,anchored_reference_linear,anchored_reference_v1,contextual_comparable_inter_release
