iniciativa_id,planta_id,linea_id,categoria_iniciativa,tipo_iniciativa,quick_win_flag,initiative_class,mandatory_flag,compliance_flag,reliability_flag,financial_maturity_stage,financial_use_level,committee_claim_allowed_flag,committee_claim_caveat,capex_estimado,gross_technical_value,avoided_loss,net_captured_value,downside_adjusted_annual,annual_saving_proxy,discounted_value,downside_adjusted_value,cost_of_delay_12m,value_at_risk_95,screening_var_95_npv,robust_risk_metric_candidate_npv,npv_base,npv_risk_adjusted,irr_proxy_pct,screening_irr_pct,formal_irr_candidate_pct,formal_irr_candidate_flag,payback_months,implementation_burden,strategic_relevance_score,capital_efficiency,energy_saving_score,operational_impact_score,emissions_reduction_score,implementation_feasibility_score,payback_score,strategic_priority_score,financial_resilience_score,uncertainty_index,portfolio_objective_score,score_scaling_method,score_scale_version,component_score_comparability_tag,improvement_priority_comparability_tag,portfolio_objective_comparability_tag,objective_value_eur,improvement_priority_index,initiative_tier,selected_portfolio_flag,selection_variable_x,selection_model,optimizer_status,optimality_degree,portfolio_wave,portfolio_constraint_reason,portfolio_npv_contribution,portfolio_downside_value_contribution,recommended_sequence,main_business_case,decision_rule
INI_0000013,PLT_BIZ,PLT_BIZ_L04,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,24582.39,780552.2505322105,174949.483828271,550195.0349283674,395545.6142621045,550195.0349283674,2389103.618503954,1710662.121964458,514480.8422123145,190233.44471414707,826800.6432750374,1033500.8040937969,3356707.8782573394,2389103.618503954,250.0,250.0,0.0,0.0,3.0,41.16679436927532,62.48100000000001,81.91617935997158,55.50139490469813,0.0,100.0,86.11105790169084,100.0,56.29503238866398,90.83580923354188,47.31993567249626,83.66789210506462,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1979896.639987292,62.708107389746715,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2389103.618503954,1710662.121964458,OLA_01,Optimización incremental orientada a valor,ejecutar ahora
INI_0000037,PLT_CAN,PLT_CAN_L02,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,16798.48,732080.3200149352,168214.78172493377,509222.4721805124,363967.4341164756,509222.4721805124,2217142.3560490194,1579913.6811564495,476167.8854389808,178419.5844499641,775456.3208518025,969320.4010647532,3121670.9123014193,2217142.3560490194,250.0,250.0,0.0,0.0,3.0,35.254348363803274,51.45525,110.90587632353777,50.27244950661558,0.0,100.0,98.15791040397086,100.0,39.083090080971665,85.0526230786453,52.454367914819755,82.4005458717912,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1828159.8342652754,61.35743074872991,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2217142.3560490194,1579913.6811564495,OLA_02,Optimización incremental orientada a valor,ejecutar ahora
INI_0000017,PLT_ALA,PLT_ALA_L01,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,27344.07,768409.8568769568,187911.3743826453,537069.2245093016,384085.12905929715,537069.2245093016,2328759.4760179017,1657623.701847595,502207.0527914411,187273.11968456896,813940.1937804387,1017425.2422255485,3269639.9565594057,2328759.4760179017,250.0,250.0,0.0,0.0,3.0,41.4219502901118,50.52574999999999,71.2705618989273,53.62663432883232,0.0,100.0,86.00474293467565,100.0,35.64311639676112,88.34660964804212,48.60598062195613,77.758431069357,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1919070.7362197514,60.08132231841875,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2328759.4760179017,1657623.701847595,OLA_03,Optimización incremental orientada a valor,ejecutar ahora
INI_0000020,PLT_ALA,PLT_ALA_L01,TransformacionIndustrial,CAPEXTransformacional,0,discretionary,0,0,0,business_case_candidate,business case candidate (no final),1,Candidato para comité con caveat: requiere business case corporativo auditado.,961311.85,2745779.9445109013,644914.8997106894,1105815.4869571438,793399.5898692635,1105815.4869571438,2984899.8609188497,1870012.8962247197,951765.707738477,378446.78848479706,1272026.5653131285,1590033.2066414107,8170284.307898374,2984899.8609188497,134.38091893550765,134.38091893550765,66.68775087749489,1.0,25.0,91.55331459484562,79.922,2.246957580443685,100.0,3.8645984205375603,100.0,9.204786627147655,36.666666666666664,79.54423481781375,91.01559219264826,2.7973434686871457,76.1472523117141,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,2263228.609841178,53.60812115266487,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_2,seleccionada_modelo_optimizacion,2984899.8609188497,1870012.8962247197,OLA_04,Candidato business case (requiere cierre financiero corporativo),ejecutar en siguiente ola
INI_0000039,PLT_CAN,PLT_CAN_L02,OptimizacionProceso,ControlAvanzado,0,discretionary,0,0,0,pre_feasibility,pre-feasibility,0,No committee-grade: usar solo para screening/pre-feasibility.,241518.37,1117343.669190803,300009.19327400316,680609.9015697099,488456.0635150578,680609.9015697099,2607142.531902169,1802891.6322983168,623962.0096962699,231983.88724635087,954218.4696075142,1192773.087009393,4316902.979409859,2607142.531902169,250.0,250.0,150.7504532152831,1.0,9.0,61.53164701406804,67.1255,8.693538537924805,70.82245046872525,1.2706629534096474,100.0,59.767936174693865,90.0,62.288022267206486,93.27779008427663,34.578153039248576,73.99008241326626,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,2107661.717956288,61.19199090731916,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2607142.531902169,1802891.6322983168,OLA_05,Ahorro energético de captura rápida,ejecutar ahora
INI_0000009,PLT_BIZ,PLT_BIZ_L03,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,21674.09,663648.8447810865,139828.846190614,468249.0281097823,337139.30023904325,468249.0281097823,2032517.7072620431,1457344.0040286717,437854.1045510941,161743.0130528906,702971.3854856923,878714.2318571154,2861073.3309762646,2032517.7072620431,250.0,250.0,0.0,0.0,3.0,35.86504323727173,50.60275000000001,79.30884989929658,45.016170320635545,0.0,100.0,97.90345420669233,100.0,35.74247267206478,80.0676861989056,59.70286145143077,72.19046488865348,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1686506.2982973503,59.87290522724693,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2032517.7072620431,1457344.0040286717,OLA_06,Optimización incremental orientada a valor,ejecutar ahora
INI_0000019,PLT_ALA,PLT_ALA_L01,OptimizacionProceso,ControlAvanzado,0,discretionary,0,0,0,pre_feasibility,pre-feasibility,0,No committee-grade: usar solo para screening/pre-feasibility.,256036.62,1177454.472404546,336007.0291271278,676765.2915070512,480676.15940108337,676765.2915070512,2576532.8463481213,1755810.957598186,620437.3906514058,235744.8908605302,969693.2611816736,1212116.576477092,4474695.928926632,2576532.8463481213,248.61090081682946,248.61090081682946,213.80075458742567,1.0,10.0,61.67154838223735,49.754,8.015021290682263,70.33663659388195,0.0,100.0,52.66437831295667,86.66666666666667,34.64729554655871,90.58563688147993,33.03067388183264,69.33595835249965,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,2054141.4702511688,56.34547395830414,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2576532.8463481213,1755810.957598186,OLA_07,Ahorro energético de captura rápida,ejecutar ahora
INI_0000021,PLT_ALA,PLT_ALA_L02,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,25771.92,652429.2085184844,150708.82006937693,462504.25210726017,333003.0615172273,462504.25210726017,2003217.7496908952,1435100.642177445,432482.23274479224,159007.55661332328,691087.2390759164,863859.0488448956,2808078.9449030133,2003217.7496908952,250.0,250.0,0.0,0.0,3.0,36.28004225632633,48.34875,65.39793514772258,43.98780323809145,0.0,100.0,97.73053794875291,100.0,32.834043522267194,79.14016349168737,60.89127609240837,68.58734954960184,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1661504.001108585,59.33073322738366,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2003217.7496908952,1435100.642177445,OLA_08,Optimización incremental orientada a valor,ejecutar ahora
INI_0000015,PLT_BIZ,PLT_BIZ_L04,OptimizacionProceso,ControlAvanzado,0,discretionary,0,0,0,pre_feasibility,pre-feasibility,0,No committee-grade: usar solo para screening/pre-feasibility.,359648.18,1188843.933846803,311052.5876398945,663469.8293848214,475930.9466130713,663469.8293848214,2417273.7516399617,1632338.5314702608,608248.5240973134,226703.76716348476,932510.8599469498,1165638.574933687,4485144.349700747,2417273.7516399617,205.33395609124048,205.33395609124048,155.6520086248227,1.0,12.0,62.485927365675785,67.62775,5.352860647503505,68.76759700506945,0.0,100.0,40.911084569857316,80.0,62.93609615384616,84.92106672107477,36.748914005305025,67.25692187235067,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1916663.8348714085,56.07172236860431,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2417273.7516399617,1632338.5314702608,OLA_09,Ahorro energético de captura rápida,ejecutar ahora
INI_0000033,PLT_CAN,PLT_CAN_L01,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,39381.48,707117.8045200384,180246.96765669205,502069.8168137395,360934.96456110576,502069.8168137395,2163180.91188571,1544027.3452985322,469479.5223612753,172335.06971480892,749018.197301711,936272.7466271387,3022885.308280889,2163180.91188571,250.0,250.0,0.0,0.0,3.0,37.29619776166508,37.98425,45.88225074440595,48.787657819436305,0.0,100.0,97.30713982152844,100.0,14.234737854251012,83.68616167656833,55.0981802698289,67.01415386152063,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1788836.5636002289,58.47851190817291,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2163180.91188571,1544027.3452985322,OLA_10,Optimización incremental orientada a valor,ejecutar ahora
