iniciativa_id,planta_id,linea_id,tipo_iniciativa,prioridad_compuesta,ahorro_anual_estimado,payback_estimado_meses
INI_0000028,PLT_ALA,PLT_ALA_L03,CAPEXTransformacional,11.358304325955734,1051872.72,9.94
INI_0000016,PLT_BIZ,PLT_BIZ_L04,CAPEXTransformacional,11.038656455309397,690057.26,26.18
INI_0000040,PLT_CAN,PLT_CAN_L02,CAPEXTransformacional,10.78603222778473,924259.38,23.97
INI_0000012,PLT_BIZ,PLT_BIZ_L03,CAPEXTransformacional,9.978496480993602,733305.85,26.57
INI_0000001,PLT_BIZ,PLT_BIZ_L01,QuickWinOperativo,9.6664,301823.88,2.5
INI_0000021,PLT_ALA,PLT_ALA_L02,QuickWinOperativo,9.489650000000001,370490.77,2.5
INI_0000017,PLT_ALA,PLT_ALA_L01,QuickWinOperativo,9.3851,226027.8,2.5
INI_0000041,PLT_CAN,PLT_CAN_L03,QuickWinOperativo,9.38365,224703.33,2.5
INI_0000009,PLT_BIZ,PLT_BIZ_L03,QuickWinOperativo,9.33685,216410.92,2.5
INI_0000013,PLT_BIZ,PLT_BIZ_L04,QuickWinOperativo,9.1838,181182.72,2.5
INI_0000024,PLT_ALA,PLT_ALA_L02,CAPEXTransformacional,9.101310077145614,833676.39,31.11
INI_0000020,PLT_ALA,PLT_ALA_L01,CAPEXTransformacional,9.064077161055504,1059368.11,10.99
INI_0000005,PLT_BIZ,PLT_BIZ_L02,QuickWinOperativo,8.97545,149378.82,2.5
INI_0000045,PLT_CAN,PLT_CAN_L04,QuickWinOperativo,8.9723,142958.97,2.5
INI_0000008,PLT_BIZ,PLT_BIZ_L02,CAPEXTransformacional,8.964822660098521,821956.7,32.48
INI_0000033,PLT_CAN,PLT_CAN_L01,QuickWinOperativo,8.8423,221553.63,2.5
INI_0000036,PLT_CAN,PLT_CAN_L01,CAPEXTransformacional,8.602088165038001,1014867.39,27.63
INI_0000037,PLT_CAN,PLT_CAN_L02,QuickWinOperativo,8.389050000000001,181393.7,2.5
INI_0000003,PLT_BIZ,PLT_BIZ_L01,ControlAvanzado,8.211735849056604,605230.46,4.24
INI_0000025,PLT_ALA,PLT_ALA_L03,QuickWinOperativo,8.129457046979866,169498.57,2.98
