planta_id,linea_id,equipo_id,consumo_relativo_prom,coste_energia_total
PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,1.2314108421163326,574402.3821000002
PLT_CAN,PLT_CAN_L01,PLT_CAN_L01_EQ05,1.1968600121908168,343981.0116999993
PLT_CAN,PLT_CAN_L01,PLT_CAN_L01_EQ01,1.1924861155599533,2765577.1926000006
PLT_ALA,PLT_ALA_L04,PLT_ALA_L04_EQ05,1.187883831082768,341319.7472999998
PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ05,1.1866769826660715,347537.7494999992
PLT_CAN,PLT_CAN_L04,PLT_CAN_L04_EQ04,1.1843746207976176,734373.8227000008
PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ06,1.1697652592778047,535253.3968
PLT_CAN,PLT_CAN_L03,PLT_CAN_L03_EQ04,1.1689074433153008,724629.0451999998
PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,1.1684722027550947,2762686.4588999944
PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ01,1.1631771473889227,2750009.2579
PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ06,1.1585759054641849,539951.2295000001
PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ01,1.1561094373916416,2682412.4137000013
PLT_CAN,PLT_CAN_L04,PLT_CAN_L04_EQ03,1.1372693978449797,1040045.9463999987
PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,1.135145686839572,1058427.8029999996
PLT_CAN,PLT_CAN_L02,PLT_CAN_L02_EQ04,1.1298741044728302,700572.9401999997
