iniciativa_id,selection_variable_x,objective_value_eur,initiative_class
INI_0000013,1,1979896.6399872892,discretionary
INI_0000037,1,1828159.8342652759,discretionary
INI_0000017,1,1919070.7362197516,discretionary
INI_0000020,1,2263228.609841178,discretionary
INI_0000039,1,2107661.7179562887,discretionary
INI_0000009,1,1686506.2982973475,discretionary
INI_0000019,1,2054141.4702511688,discretionary
INI_0000021,1,1661504.0011085845,discretionary
INI_0000015,1,1916663.8348714055,discretionary
INI_0000033,1,1788836.563600229,discretionary
INI_0000045,0,1401955.224829067,discretionary
INI_0000025,1,1677887.1946621535,discretionary
INI_0000027,1,1789167.2043979792,discretionary
INI_0000023,1,1757628.5284835333,discretionary
INI_0000005,0,1449841.271113156,discretionary
INI_0000011,1,1710972.02009465,discretionary
INI_0000016,1,1715690.2902739118,discretionary
INI_0000014,1,1594175.7081220385,reliability-protection
INI_0000003,1,1703367.0978293365,discretionary
INI_0000001,0,1507481.2989871453,discretionary
INI_0000041,0,1454644.0565156331,discretionary
INI_0000018,1,1592634.0993826322,reliability-protection
INI_0000035,0,1615319.2966682257,discretionary
INI_0000038,1,1451162.6350330436,reliability-protection
INI_0000007,0,1516127.8773711636,discretionary
INI_0000029,0,1387654.844909629,discretionary
INI_0000034,1,1479289.6620540973,reliability-protection
INI_0000026,1,1369180.7626045966,reliability-protection
INI_0000010,1,1297229.8439546234,reliability-protection
INI_0000043,0,1410359.4731704693,discretionary
INI_0000047,0,1414610.0603349218,discretionary
INI_0000031,0,1388433.9786485925,discretionary
INI_0000022,1,1210116.4316862572,reliability-protection
INI_0000042,1,1183114.612721254,reliability-protection
INI_0000002,0,1162927.8199190747,reliability-protection
INI_0000040,0,1140208.0724203447,discretionary
INI_0000006,0,1117384.0769566062,reliability-protection
INI_0000012,0,1078773.7787703804,discretionary
INI_0000048,0,1133670.7110714721,discretionary
INI_0000030,0,1023244.1118720995,reliability-protection
INI_0000046,0,1039769.2848393676,reliability-protection
INI_0000004,0,1024851.1896313089,discretionary
INI_0000032,0,994822.7412660653,discretionary
INI_0000044,0,883919.2553957733,discretionary
INI_0000024,0,466824.0633421681,discretionary
INI_0000036,0,507733.99717090465,discretionary
INI_0000028,0,-299436.8071018042,discretionary
INI_0000008,0,93025.77578684539,discretionary
