iniciativa_id,depends_on_iniciativa_id,dependency_strength,dependency_penalty_pct,linea_id
INI_0000020,INI_0000018,alta,12.0,PLT_ALA_L01
INI_0000024,INI_0000022,alta,12.0,PLT_ALA_L02
INI_0000028,INI_0000026,alta,12.0,PLT_ALA_L03
INI_0000032,INI_0000030,alta,12.0,PLT_ALA_L04
INI_0000004,INI_0000002,alta,12.0,PLT_BIZ_L01
INI_0000008,INI_0000006,alta,12.0,PLT_BIZ_L02
INI_0000012,INI_0000010,alta,12.0,PLT_BIZ_L03
INI_0000016,INI_0000014,alta,12.0,PLT_BIZ_L04
INI_0000036,INI_0000034,alta,12.0,PLT_CAN_L01
INI_0000040,INI_0000038,alta,12.0,PLT_CAN_L02
INI_0000044,INI_0000042,alta,12.0,PLT_CAN_L03
INI_0000048,INI_0000046,alta,12.0,PLT_CAN_L04
