iniciativa_id,planta_id,linea_id,macro_scenario,scenario_key,escenario_label,reduccion_consumo_pct,mejora_sec_pct,mejora_oee_pct,reduccion_paradas_pct,reduccion_emisiones_pct,baseline_energy_exposure,baseline_non_energy_exposure,baseline_emission_cost,baseline_economic_exposure,gross_technical_value_energy,avoided_loss,gross_technical_value_emissions,gross_technical_value,implementation_opex,net_operational_value,net_captured_value,downside_adjusted_annual,discounted_value,downside_adjusted_value,cost_of_delay_12m,capital_efficiency,screening_irr_pct,formal_irr_candidate_pct,formal_irr_candidate_flag,screening_var_95_npv,robust_risk_metric_candidate_npv,capex_estimado,capex_base,capex_overrun_pct,success_probability,expected_capture_rate,downside_capture_rate,capture_shortfall_pct,start_delay_months,ramp_up_months,ramp_up_penalty_value,dependency_penalty_pct,conflict_penalty_pct,npv_base,npv_risk_adjusted,irr_proxy_pct,payback_meses,downside_annual_savings_p20,value_at_risk_95,implementation_burden,strategic_relevance_score,facilidad_ejecucion,financial_maturity_stage,financial_use_label,committee_wording_status,assumption_energy_price_mult,assumption_carbon_cost_eur_ton,assumption_margin_operativo_mult,gross_annual_savings,net_annual_savings,risk_adjusted_annual_savings
INI_0000001,PLT_BIZ,PLT_BIZ_L01,RestriccionOperativa,quick_wins_operativos,Quick Wins Operativos,4.585998750000001,5.095554166666667,1.5205199999999999,6.1146650000000005,4.076443333333334,8337402.094509198,2661845.7888499876,1032817.2024645013,12032065.085823687,382353.1558366657,118205.02337545271,42102.207995384,542660.3872075025,2356.6932300000003,540303.6939775025,434056.21676614566,311860.6019672249,1833493.0674410786,1307316.2284707746,402686.8013404859,36.76164806102063,250.0,0.0,0.0,526176.838970304,657721.04871288,35561.9592,32927.74,0.08,0.8042100000000001,0.8042100000000001,0.5790312000000001,0.12,1.0,5.0,108514.05419153639,0.0,0.0,2290996.8968512896,1833493.0674410786,250.0,4.0,311860.6019672249,122195.61479892075,38.0697633687872,32.174,88,screening,screening_financiero,not_committee_grade_proxy,1.1375566666666663,90.0,0.95,542660.3872075025,540303.6939775025,434056.21676614566
INI_0000001,PLT_BIZ,PLT_BIZ_L01,Base,quick_wins_operativos,Quick Wins Operativos,4.16706525,4.630072500000001,1.5205199999999999,5.556087000000001,3.7040580000000003,7448013.56719903,2801942.9356315657,1032817.2024645013,11282773.705295095,310363.5851740362,114305.33659077183,38256.14821326256,462925.06997807056,2342.840952,460582.22902607056,423548.2234278249,304298.72540147393,1825163.2203220013,1302019.922700646,396054.9130274267,39.541733586958784,250.0,0.0,0.0,523143.29762135516,653929.122026694,32927.74,32927.74,0.0,0.927485,0.92,0.6624,0.0,1.0,3.0,70591.37057130417,0.0,0.0,1987630.0829373302,1825163.2203220013,250.0,3.0,304298.72540147393,119249.49802635098,35.66310102471079,32.174,88,screening,screening_financiero,not_committee_grade_proxy,1.0162083333333334,90.0,1.0,462925.06997807056,460582.22902607056,423548.2234278249
INI_0000001,PLT_BIZ,PLT_BIZ_L01,AltaDemanda,quick_wins_operativos,Quick Wins Operativos,4.71947925,5.2438658333333334,1.5205199999999999,6.292638999999999,4.195092666666667,8952671.718289534,3138176.087907354,1032817.2024645013,13123665.008661387,422519.484065293,142969.22349955328,43327.638720660114,608816.3462855064,2400.5538960000003,606415.7923895064,526521.7364909789,378423.4951826247,2253892.383637453,1610200.315429212,490401.89644422475,46.57240703226468,250.0,0.0,0.0,643692.0682082409,804615.0852603011,34574.127,32927.74,0.05,0.8687715,0.8687715,0.62551548,0.06,1.0,4.0,109692.0284356206,0.0,0.0,2601142.7603100026,2253892.383637453,250.0,4.0,378423.4951826247,148098.24130835413,36.89113960977607,32.174,88,screening,screening_financiero,not_committee_grade_proxy,1.2215041666666666,90.0,1.12,608816.3462855064,606415.7923895064,526521.7364909789
INI_0000001,PLT_BIZ,PLT_BIZ_L01,ShockEnergia,quick_wins_operativos,Quick Wins Operativos,4.9981012499999995,5.553445833333334,1.5205199999999999,6.664135,4.442756666666667,12390289.263981827,2745904.0769189345,1084458.0625877264,16220651.403488487,619279.2025816914,131694.6679589778,48179.832872820385,799153.7034134896,2348.8445820000006,796804.8588314896,707238.2690447567,508553.87722926476,3040014.679068661,2176455.6930971225,658721.1207821085,64.1727546350264,250.0,0.0,0.0,863558.9859715383,1079448.732464423,33915.5722,32927.74,0.03,0.8879232,0.8879232,0.639304704,0.04,1.0,4.0,147341.30605099094,0.0,0.0,3429305.6180619323,3040014.679068661,250.0,3.0,508553.87722926476,198684.3918154919,36.845050903322395,32.174,88,screening,screening_financiero,not_committee_grade_proxy,1.6905333333333332,94.5,0.98,799153.7034134896,796804.8588314896,707238.2690447567
INI_0000002,PLT_BIZ,PLT_BIZ_L01,RestriccionOperativa,mantenimiento_restauracion,Mantenimiento y Restauración de Performance,2.5477770833333335,3.0573325000000002,2.88778,18.343995000000003,2.2420438333333332,8337402.094509198,2661845.7888499876,1032817.2024645013,12032065.085823687,212418.41990925872,275252.78742216824,23156.2143974612,510827.4217288882,8147.494717083334,502679.92701180483,346653.8209737767,247309.45258033587,1295616.4095887453,895531.0673340859,312816.0712076869,8.915391615106985,250.0,216.83413167188505,0.0,400085.3422546594,500106.67781832424,100447.7544,93007.18,0.08,0.694562,0.694562,0.50008464,0.12,3.0,8.0,187770.81969412905,0.0,0.0,1923973.698928639,1295616.4095887453,250.0,11.0,247309.45258033587,99344.36839344082,63.09159889595808,35.645,67,screening,screening_financiero,not_committee_grade_proxy,1.1375566666666663,90.0,0.95,510827.4217288882,502679.92701180483,346653.8209737767
INI_0000002,PLT_BIZ,PLT_BIZ_L01,Base,mantenimiento_restauracion,Mantenimiento y Restauración de Performance,2.3150362500000004,2.7780435000000003,2.88778,16.668261,2.0372319,7448013.56719903,2801942.9356315657,1032817.2024645013,11282773.705295095,172424.21398557568,265637.17954493343,21040.881517294405,459102.2750478035,8099.605004333333,451002.67004347016,360506.7250974224,257296.95266893072,1430237.5959925079,994146.572612596,331806.88598386105,10.688922861789768,250.0,291.3175240147848,0.0,436091.0233799119,545113.7792248898,93007.18,93007.18,0.0,0.802885,0.802885,0.5780772,0.0,2.0,5.0,120168.90836580744,0.0,0.0,1812609.035388878,1430237.5959925079,250.0,8.0,257296.95266893072,103209.77242849165,59.573821958250136,35.645,67,screening,screening_financiero,not_committee_grade_proxy,1.0162083333333334,90.0,1.0,459102.2750478035,451002.67004347016,360506.7250974224
INI_0000002,PLT_BIZ,PLT_BIZ_L01,AltaDemanda,mantenimiento_restauracion,Mantenimiento y Restauración de Performance,2.6219329166666667,3.1463194999999997,2.88778,18.877917,2.3073009666666664,8952671.718289534,3138176.087907354,1032817.2024645013,13123665.008661387,234733.04670294054,333109.6611483907,23830.20129636306,591672.9091476942,8299.128599666667,583373.7805480276,436430.33437892486,311906.0847449192,1729001.2079297889,1207810.7867311263,400105.76969779376,12.367819208828582,250.0,0.0,0.0,521190.4211986626,651488.0264983282,97657.53899999999,93007.18,0.05,0.7516475,0.7516475,0.5411862,0.06,2.0,6.0,163661.37539209687,0.0,0.0,2344026.127384058,1729001.2079297889,250.0,8.0,311906.0847449192,124524.24963400565,60.80186278207733,35.645,67,screening,screening_financiero,not_committee_grade_proxy,1.2215041666666666,90.0,1.12,591672.9091476942,583373.7805480276,436430.33437892486
INI_0000002,PLT_BIZ,PLT_BIZ_L01,ShockEnergia,mantenimiento_restauracion,Mantenimiento y Restauración de Performance,2.776722916666667,3.3320675,2.88778,19.992404999999998,2.4435161666666665,12390289.263981827,2745904.0769189345,1084458.0625877264,16220651.403488487,344044.0014342731,307180.3761716116,26498.908080051213,677723.2856859359,8120.360588083334,669602.9250978526,512579.3194120781,366783.4090120329,2049579.3658918808,1439357.4037135919,469916.79305792204,15.025016052926967,250.0,0.0,0.0,610221.962178289,762777.4527228612,95797.3954,93007.18,0.03,0.7683072,0.7683072,0.5531811839999999,0.04,2.0,6.0,192217.24477952928,0.0,0.0,2706794.321420932,2049579.3658918808,250.0,7.0,366783.4090120329,145795.91040004522,60.755773206201034,35.645,67,screening,screening_financiero,not_committee_grade_proxy,1.6905333333333332,94.5,0.98,677723.2856859359,669602.9250978526,512579.3194120781
INI_0000003,PLT_BIZ,PLT_BIZ_L01,RestriccionOperativa,optimizacion_parametros,Optimización de Parámetros de Proceso,6.624220416666668,7.133775833333335,3.6402799999999997,11.210219166666667,6.1146650000000005,8337402.094509198,2661845.7888499876,1032817.2024645013,12032065.085823687,552287.8917640727,212216.98555167776,63153.311993076,827658.1893088265,5956.4725308333345,821701.7167779931,559143.7093835542,400915.65844752564,1979783.6218645521,1354836.3048122304,500620.0165227228,5.925500816365138,244.54662859635027,151.50874978167394,0.0,624947.3170523217,781184.1463154021,228645.0288,211708.36,0.08,0.6827700000000001,0.6827700000000001,0.49159440000000004,0.12,3.0,10.0,349464.8183647214,0.0,0.0,3016799.001382168,1979783.6218645521,244.54662859635027,13.0,400915.65844752564,158228.05093602854,69.08509755125736,43.579499999999996,58,screening,screening_financiero,not_committee_grade_proxy,1.1375566666666663,90.0,0.95,827658.1893088265,821701.7167779931,559143.7093835542
INI_0000003,PLT_BIZ,PLT_BIZ_L01,Base,optimizacion_parametros,Optimización de Parámetros de Proceso,6.01909425,6.482101500000001,3.6402799999999997,10.1861595,5.556087000000001,7448013.56719903,2801942.9356315657,1032817.2024645013,11282773.705295095,448302.9563624967,205961.4795978089,57384.22231989384,711648.6582801995,5921.461307333334,705727.1969728662,555914.47967501,398600.4161999538,2115045.687214359,1456615.0341968175,509645.1214672022,6.880290576134158,250.0,196.8983071909361,0.0,658430.6530175416,823038.316271927,211708.36,211708.36,0.0,0.789485,0.789485,0.5684292,0.0,2.0,6.0,208467.92987812875,0.0,0.0,2742079.8067443054,2115045.687214359,250.0,10.0,398600.4161999538,157314.06347505614,64.45620843225674,43.579499999999996,58,screening,screening_financiero,not_committee_grade_proxy,1.0162083333333334,90.0,1.0,711648.6582801995,705727.1969728662,555914.47967501
