sector_profile_id,iniciativa_id,planta_id,linea_id,categoria_iniciativa,sector_category,tipo_iniciativa,sector_type,quick_win_flag,improvement_priority_index,decision_rule,portfolio_wave,selected_portfolio_flag,annual_saving_proxy,downside_adjusted_value,downside_adjusted_value_sector,capex_estimado,sector_capex_budget,sector_opex_budget
petronor,INI_0000013,PLT_BIZ,PLT_BIZ_L04,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,62.70810738974669,ejecutar ahora,OLA_1,1,550195.0349283667,1710662.121964456,2119510.3691139612,24582.39,12000000.0,2400000.0
petronor,INI_0000037,PLT_CAN,PLT_CAN_L02,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,61.35743074872992,ejecutar ahora,OLA_1,1,509222.4721805125,1579913.68115645,1957513.0509528415,16798.48,12000000.0,2400000.0
petronor,INI_0000017,PLT_ALA,PLT_ALA_L01,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,60.08132231841874,ejecutar ahora,OLA_1,1,537069.2245093017,1657623.701847595,2053795.76658917,27344.07,12000000.0,2400000.0
petronor,INI_0000020,PLT_ALA,PLT_ALA_L01,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,53.60812115266487,ejecutar en siguiente ola,OLA_2,1,1105815.4869571438,1870012.8962247197,2316945.9784224275,961311.85,12000000.0,2400000.0
petronor,INI_0000039,PLT_CAN,PLT_CAN_L02,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,61.191990907319166,ejecutar ahora,OLA_1,1,680609.9015697101,1802891.6322983175,2233782.732417615,241518.37,12000000.0,2400000.0
petronor,INI_0000009,PLT_BIZ,PLT_BIZ_L03,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,59.872905227246896,ejecutar ahora,OLA_1,1,468249.0281097816,1457344.004028669,1805649.220991521,21674.09,12000000.0,2400000.0
petronor,INI_0000019,PLT_ALA,PLT_ALA_L01,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,56.34547395830415,ejecutar ahora,OLA_1,1,676765.2915070512,1755810.957598186,2175449.7764641526,256036.62,12000000.0,2400000.0
petronor,INI_0000021,PLT_ALA,PLT_ALA_L02,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,59.33073322738365,ejecutar ahora,OLA_1,1,462504.25210725993,1435100.6421774444,1778089.6956578537,25771.92,12000000.0,2400000.0
petronor,INI_0000015,PLT_BIZ,PLT_BIZ_L04,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,56.07172236860429,ejecutar ahora,OLA_1,1,663469.8293848203,1632338.531470258,2022467.4404916496,359648.18,12000000.0,2400000.0
petronor,INI_0000033,PLT_CAN,PLT_CAN_L01,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,58.47851190817292,ejecutar ahora,OLA_1,1,502069.8168137395,1544027.3452985322,1913049.8808248814,39381.48,12000000.0,2400000.0
petronor,INI_0000045,PLT_CAN,PLT_CAN_L04,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,51.39417018454855,analizar técnicamente,BACKLOG,0,389427.3335649964,1211452.764156483,1500989.9747898825,10541.91,12000000.0,2400000.0
petronor,INI_0000025,PLT_ALA,PLT_ALA_L03,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,59.604848486465066,ejecutar ahora,OLA_1,1,471784.9814589722,1448149.2169765756,1794256.8798339772,42037.59,12000000.0,2400000.0
petronor,INI_0000027,PLT_ALA,PLT_ALA_L03,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,53.8874777622322,ejecutar en siguiente ola,OLA_2,1,585579.343352739,1529821.9880971047,1895449.4432523125,212192.64,12000000.0,2400000.0
petronor,INI_0000023,PLT_ALA,PLT_ALA_L02,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,53.9473596647366,ejecutar en siguiente ola,OLA_2,1,577624.6973829444,1502408.0344032138,1861483.554625582,222808.96,12000000.0,2400000.0
petronor,INI_0000005,PLT_BIZ,PLT_BIZ_L02,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,55.76286581581201,analizar técnicamente,BACKLOG,0,406549.9648842728,1252831.9039437475,1552258.728986303,22150.41,12000000.0,2400000.0
