iniciativa_id,planta_id,linea_id,equipo_id,categoria_iniciativa,tipo_iniciativa,descripcion_resumida,impacto_esperado_energia_pct,impacto_esperado_oee_pct,impacto_esperado_emisiones_pct,dificultad_implementacion,quick_win_flag,capex_estimado,opex_impacto_proxy,ahorro_anual_estimado,payback_estimado_meses,criticidad_estrategica,horizonte_implantacion,riesgo_implantacion,prioridad_compuesta
INI_0000001,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,5.396,1.368,3.528,1,1,32927.74,2342.88,301823.88,2.5,2,0-12 meses,Bajo,9.6664
INI_0000002,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,2.336,3.135,0.94,4,0,93007.18,8099.74,279241.45,4.12,3,0-12 meses,Medio,5.813326699029126
INI_0000003,PLT_BIZ,PLT_BIZ_L01,,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,6.924,4.008,5.474,4,0,211708.36,5921.56,605230.46,4.24,3,0-12 meses,Bajo,8.211735849056604
INI_0000004,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,7.615,6.762,9.176,4,0,1442465.83,3474.33,624743.62,27.86,3,24-48 meses,Alto,6.848606317300789
INI_0000005,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,2.685,1.387,4.116,1,1,22150.41,7450.96,149378.82,2.5,2,0-12 meses,Bajo,8.97545
INI_0000006,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.381,4.117,1.678,4,0,111259.07,7474.86,198964.94,6.97,3,0-12 meses,Medio,4.431230344332855
INI_0000007,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,6.698,3.567,6.153,3,0,232285.42,14329.37,394502.7,7.33,3,0-12 meses,Medio,6.678134720327422
INI_0000008,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,16.652,3.912,10.147,5,0,2206381.42,6818.84,821956.7,32.48,4,24-48 meses,Alto,8.964822660098521
INI_0000009,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ06,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,4.235,1.247,3.773,1,1,21674.09,-294.08,216410.92,2.5,3,0-12 meses,Bajo,9.33685
INI_0000010,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ01,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.308,2.995,1.839,4,0,101707.1,16165.63,243769.08,5.36,4,0-12 meses,Bajo,4.807457462686567
INI_0000011,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ01,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,6.318,5.323,3.003,4,0,251616.61,19232.63,542451.87,5.77,4,0-12 meses,Medio,6.926403379549393
INI_0000012,PLT_BIZ,PLT_BIZ_L03,PLT_BIZ_L03_EQ06,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,17.795,3.505,13.496,5,0,1602956.16,9436.31,733305.85,26.57,5,24-48 meses,Alto,9.978496480993602
INI_0000013,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ02,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,4.398,0.952,3.132,2,1,24582.39,2124.36,181182.72,2.5,4,0-12 meses,Bajo,9.1838
INI_0000014,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ02,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.433,2.224,1.955,3,0,131768.54,842.09,204028.19,7.78,4,0-12 meses,Medio,3.804920565552699
INI_0000015,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ06,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,4.639,2.17,6.073,3,0,359648.18,6312.0,332805.25,13.22,4,12-24 meses,Alto,4.78344447806354
INI_0000016,PLT_BIZ,PLT_BIZ_L04,PLT_BIZ_L04_EQ02,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,17.715,4.784,17.276,5,0,1474484.18,14203.48,690057.26,26.18,5,24-48 meses,Alto,11.038656455309397
INI_0000017,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ06,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,4.936,0.634,3.729,2,1,27344.07,9302.7,226027.8,2.5,3,0-12 meses,Bajo,9.3851
INI_0000018,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,0.995,1.638,0.846,4,0,147822.27,20041.31,156197.76,13.03,4,12-24 meses,Bajo,2.528389562547966
INI_0000019,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ03,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,4.212,4.865,3.288,3,0,256036.62,23553.43,502682.91,6.41,3,0-12 meses,Medio,5.97754360374415
INI_0000020,PLT_ALA,PLT_ALA_L01,PLT_ALA_L01_EQ04,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,10.203,7.446,11.384,5,0,961311.85,9955.74,1059368.11,10.99,5,0-12 meses,Alto,9.064077161055504
INI_0000021,PLT_ALA,PLT_ALA_L02,PLT_ALA_L02_EQ01,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,5.243,1.679,2.485,1,1,25771.92,-3637.36,370490.77,2.5,3,0-12 meses,Bajo,9.489650000000001
INI_0000022,PLT_ALA,PLT_ALA_L02,,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.6,4.643,1.891,4,0,120308.12,14365.6,344889.49,4.37,4,0-12 meses,Alto,5.951444279176201
INI_0000023,PLT_ALA,PLT_ALA_L02,PLT_ALA_L02_EQ04,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,4.82,5.596,4.132,3,0,222808.96,13200.9,662439.66,4.12,3,0-12 meses,Medio,7.812176699029125
INI_0000024,PLT_ALA,PLT_ALA_L02,,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,13.371,6.225,12.758,4,0,2157364.77,1424.34,833676.39,31.11,4,24-48 meses,Alto,9.101310077145614
INI_0000025,PLT_ALA,PLT_ALA_L03,,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,4.503,0.4,3.225,1,1,42037.59,-3895.74,169498.57,2.98,3,0-12 meses,Bajo,8.129457046979866
INI_0000026,PLT_ALA,PLT_ALA_L03,PLT_ALA_L03_EQ02,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.462,4.098,1.172,3,0,106763.12,13990.27,343568.7,3.89,3,0-12 meses,Medio,6.053541131105398
INI_0000027,PLT_ALA,PLT_ALA_L03,PLT_ALA_L03_EQ02,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,4.481,4.162,4.324,4,0,212192.64,19322.46,457798.74,5.81,4,0-12 meses,Medio,6.331355593803787
INI_0000028,PLT_ALA,PLT_ALA_L03,PLT_ALA_L03_EQ02,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,16.492,7.429,12.722,4,0,855925.02,19032.54,1051872.72,9.94,4,0-12 meses,Medio,11.358304325955734
INI_0000029,PLT_ALA,PLT_ALA_L04,PLT_ALA_L04_EQ02,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,2.918,1.78,1.394,2,1,34303.97,6897.72,153438.92,2.81,2,0-12 meses,Bajo,7.9372782918149465
INI_0000030,PLT_ALA,PLT_ALA_L04,PLT_ALA_L04_EQ06,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.818,4.342,1.626,4,0,137063.15,11423.41,397149.6,4.26,3,0-12 meses,Medio,5.97722676056338
INI_0000031,PLT_ALA,PLT_ALA_L04,PLT_ALA_L04_EQ03,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,7.04,3.398,5.87,3,0,307450.01,10897.78,415217.35,9.12,3,0-12 meses,Medio,6.280236842105264
INI_0000032,PLT_ALA,PLT_ALA_L04,PLT_ALA_L04_EQ03,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,11.35,6.724,8.536,4,0,1434674.61,9871.84,855800.26,20.35,3,12-24 meses,Medio,8.030300737100738
INI_0000033,PLT_CAN,PLT_CAN_L01,PLT_CAN_L01_EQ01,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,2.757,0.868,3.991,1,1,39381.48,1983.26,221553.63,2.5,2,0-12 meses,Bajo,8.8423
INI_0000034,PLT_CAN,PLT_CAN_L01,,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.325,4.22,1.219,4,0,180678.76,1499.92,399055.29,5.45,3,0-12 meses,Medio,4.948593577981651
