proyecto_id,iniciativa_id,capex_estimado,opex_impacto_proxy,ahorro_anual_estimado,payback_estimado_meses,criticidad_estrategica,horizonte_implantacion,riesgo_implantacion
PRY_0000001,INI_0000001,32927.74,2342.88,301823.88,2.5,2,0-12 meses,Bajo
PRY_0000002,INI_0000002,93007.18,8099.74,279241.45,4.12,3,0-12 meses,Medio
PRY_0000003,INI_0000003,211708.36,5921.56,605230.46,4.24,3,0-12 meses,Bajo
PRY_0000004,INI_0000004,1442465.83,3474.33,624743.62,27.86,3,24-48 meses,Alto
PRY_0000005,INI_0000005,22150.41,7450.96,149378.82,2.5,2,0-12 meses,Bajo
PRY_0000006,INI_0000006,111259.07,7474.86,198964.94,6.97,3,0-12 meses,Medio
PRY_0000007,INI_0000007,232285.42,14329.37,394502.7,7.33,3,0-12 meses,Medio
PRY_0000008,INI_0000008,2206381.42,6818.84,821956.7,32.48,4,24-48 meses,Alto
PRY_0000009,INI_0000009,21674.09,-294.08,216410.92,2.5,3,0-12 meses,Bajo
PRY_0000010,INI_0000010,101707.1,16165.63,243769.08,5.36,4,0-12 meses,Bajo
PRY_0000011,INI_0000011,251616.61,19232.63,542451.87,5.77,4,0-12 meses,Medio
PRY_0000012,INI_0000012,1602956.16,9436.31,733305.85,26.57,5,24-48 meses,Alto
PRY_0000013,INI_0000013,24582.39,2124.36,181182.72,2.5,4,0-12 meses,Bajo
PRY_0000014,INI_0000014,131768.54,842.09,204028.19,7.78,4,0-12 meses,Medio
PRY_0000015,INI_0000015,359648.18,6312.0,332805.25,13.22,4,12-24 meses,Alto
PRY_0000016,INI_0000016,1474484.18,14203.48,690057.26,26.18,5,24-48 meses,Alto
PRY_0000017,INI_0000017,27344.07,9302.7,226027.8,2.5,3,0-12 meses,Bajo
PRY_0000018,INI_0000018,147822.27,20041.31,156197.76,13.03,4,12-24 meses,Bajo
PRY_0000019,INI_0000019,256036.62,23553.43,502682.91,6.41,3,0-12 meses,Medio
PRY_0000020,INI_0000020,961311.85,9955.74,1059368.11,10.99,5,0-12 meses,Alto
PRY_0000021,INI_0000021,25771.92,-3637.36,370490.77,2.5,3,0-12 meses,Bajo
PRY_0000022,INI_0000022,120308.12,14365.6,344889.49,4.37,4,0-12 meses,Alto
PRY_0000023,INI_0000023,222808.96,13200.9,662439.66,4.12,3,0-12 meses,Medio
PRY_0000024,INI_0000024,2157364.77,1424.34,833676.39,31.11,4,24-48 meses,Alto
PRY_0000025,INI_0000025,42037.59,-3895.74,169498.57,2.98,3,0-12 meses,Bajo
PRY_0000026,INI_0000026,106763.12,13990.27,343568.7,3.89,3,0-12 meses,Medio
PRY_0000027,INI_0000027,212192.64,19322.46,457798.74,5.81,4,0-12 meses,Medio
PRY_0000028,INI_0000028,855925.02,19032.54,1051872.72,9.94,4,0-12 meses,Medio
PRY_0000029,INI_0000029,34303.97,6897.72,153438.92,2.81,2,0-12 meses,Bajo
PRY_0000030,INI_0000030,137063.15,11423.41,397149.6,4.26,3,0-12 meses,Medio
PRY_0000031,INI_0000031,307450.01,10897.78,415217.35,9.12,3,0-12 meses,Medio
PRY_0000032,INI_0000032,1434674.61,9871.84,855800.26,20.35,3,12-24 meses,Medio
PRY_0000033,INI_0000033,39381.48,1983.26,221553.63,2.5,2,0-12 meses,Bajo
PRY_0000034,INI_0000034,180678.76,1499.92,399055.29,5.45,3,0-12 meses,Medio
PRY_0000035,INI_0000035,424095.35,16342.46,538241.11,9.75,3,0-12 meses,Alto
PRY_0000036,INI_0000036,2309286.26,12080.04,1014867.39,27.63,4,24-48 meses,Alto
PRY_0000037,INI_0000037,16798.48,9545.68,181393.7,2.5,3,0-12 meses,Bajo
PRY_0000038,INI_0000038,194273.08,9825.45,148064.0,16.86,4,12-24 meses,Bajo
PRY_0000039,INI_0000039,241518.37,5653.9,347643.21,8.47,4,0-12 meses,Bajo
PRY_0000040,INI_0000040,1823819.02,11354.32,924259.38,23.97,5,12-24 meses,Alto
PRY_0000041,INI_0000041,35045.7,7453.15,224703.33,2.5,3,0-12 meses,Bajo
PRY_0000042,INI_0000042,92001.19,8817.81,170346.71,6.83,3,0-12 meses,Medio
PRY_0000043,INI_0000043,376714.76,9972.8,487937.05,9.46,3,0-12 meses,Medio
PRY_0000044,INI_0000044,1504127.07,10166.18,678955.17,26.99,4,24-48 meses,Alto
PRY_0000045,INI_0000045,10541.91,6558.57,142958.97,2.5,2,0-12 meses,Medio
PRY_0000046,INI_0000046,126327.15,13064.01,172061.19,9.53,2,0-12 meses,Medio
PRY_0000047,INI_0000047,328251.49,5439.96,254530.98,15.81,3,12-24 meses,Medio
PRY_0000048,INI_0000048,1359683.15,3759.75,392629.45,41.96,3,24-48 meses,Medio
