fecha,turno,planta_id,demanda_operativa_indice,mix_complejidad_indice,temperatura_ambiente,precio_energia_mercado_proxy,tension_operativa_proxy
2024-01-01,A,PLT_BIZ,1.1014,1.0803,11.12,156.72,0.8455
2024-01-01,B,PLT_BIZ,0.9565,1.1878,11.07,160.064,0.8273
2024-01-01,C,PLT_BIZ,1.0166,1.0894,14.25,144.898,1.0449
2024-01-02,A,PLT_BIZ,1.1602,1.0457,14.39,150.031,0.8749
2024-01-02,B,PLT_BIZ,1.035,1.0675,14.93,166.603,0.8571
2024-01-02,C,PLT_BIZ,0.9989,1.0115,15.12,154.266,0.9439
2024-01-03,A,PLT_BIZ,0.9241,0.9922,16.18,157.667,0.7567
2024-01-03,B,PLT_BIZ,1.0391,1.008,15.33,158.078,0.9045
2024-01-03,C,PLT_BIZ,1.0445,1.058,14.91,137.16,1.0869
2024-01-04,A,PLT_BIZ,1.1084,1.1052,16.07,159.111,0.8926
2024-01-04,B,PLT_BIZ,1.0653,1.0966,14.91,156.064,0.8156
2024-01-04,C,PLT_BIZ,1.0067,1.0263,14.52,145.078,1.0124
2024-01-05,A,PLT_BIZ,1.128,1.0574,16.21,144.258,0.8406
2024-01-05,B,PLT_BIZ,1.0823,0.9724,14.8,164.619,0.806
2024-01-05,C,PLT_BIZ,0.989,0.9995,14.58,143.506,1.0154
2024-01-06,A,PLT_BIZ,1.1457,1.1066,17.2,144.343,0.9167
2024-01-06,B,PLT_BIZ,0.8967,0.9832,17.79,148.189,0.8001
2024-01-06,C,PLT_BIZ,0.9001,1.0578,14.69,136.152,1.0119
2024-01-07,A,PLT_BIZ,1.0982,1.0424,14.13,137.246,0.881
2024-01-07,B,PLT_BIZ,0.9825,1.0883,11.47,138.671,0.8408
2024-01-07,C,PLT_BIZ,0.9039,1.059,12.83,135.695,0.9725
2024-01-08,A,PLT_BIZ,1.0065,1.0309,15.13,156.823,0.7946
2024-01-08,B,PLT_BIZ,1.056,1.1461,14.62,163.565,0.9092
2024-01-08,C,PLT_BIZ,1.0585,0.9761,14.42,149.673,1.1079
2024-01-09,A,PLT_BIZ,1.0426,1.1067,19.62,155.995,0.9303
2024-01-09,B,PLT_BIZ,1.0863,1.0748,23.73,166.699,0.8756
2024-01-09,C,PLT_BIZ,1.0084,1.0833,21.29,149.17,1.0458
2024-01-10,A,PLT_BIZ,1.116,1.1201,14.48,155.262,0.9129
2024-01-10,B,PLT_BIZ,1.1236,0.9719,18.26,162.559,0.812
2024-01-10,C,PLT_BIZ,1.0567,0.9566,13.76,157.244,0.9581
2024-01-11,A,PLT_BIZ,1.081,1.0285,16.16,154.833,0.7745
2024-01-11,B,PLT_BIZ,1.0648,1.0743,15.64,159.528,0.8303
2024-01-11,C,PLT_BIZ,1.0477,0.9812,16.77,153.363,1.0244
2024-01-12,A,PLT_BIZ,1.1383,1.1143,9.58,141.738,0.9756
2024-01-12,B,PLT_BIZ,1.1339,1.0393,11.72,157.531,0.8251
2024-01-12,C,PLT_BIZ,1.0474,0.9635,10.28,154.23,0.962
2024-01-13,A,PLT_BIZ,1.0502,1.0398,18.58,140.734,0.8175
2024-01-13,B,PLT_BIZ,0.9602,0.9806,17.66,145.471,0.7698
2024-01-13,C,PLT_BIZ,1.0027,1.1029,16.55,134.27,1.1083
2024-01-14,A,PLT_BIZ,1.0397,1.098,13.78,132.276,0.8821
2024-01-14,B,PLT_BIZ,1.0466,1.0395,15.0,147.227,0.8956
2024-01-14,C,PLT_BIZ,0.9763,0.9918,14.95,137.271,0.9413
2024-01-15,A,PLT_BIZ,1.1341,1.003,19.42,147.856,0.9
2024-01-15,B,PLT_BIZ,1.1077,1.1291,18.93,150.024,0.929
2024-01-15,C,PLT_BIZ,0.952,1.0292,17.91,166.889,0.9538
2024-01-16,A,PLT_BIZ,1.1765,1.0784,15.84,151.768,0.9498
2024-01-16,B,PLT_BIZ,1.0717,1.0935,15.44,172.401,0.8331
2024-01-16,C,PLT_BIZ,1.0095,1.0068,16.99,151.168,1.0255
2024-01-17,A,PLT_BIZ,1.137,1.0626,17.41,134.104,0.8749
2024-01-17,B,PLT_BIZ,1.0205,1.0093,15.66,171.415,0.8212
2024-01-17,C,PLT_BIZ,1.0631,1.1226,16.07,152.654,1.0874
