desvio_id,timestamp,planta_id,linea_id,equipo_id,variable_proceso,valor_observado,valor_objetivo,desviacion_pct,severidad_desvio,duracion_min,causa_probable_proxy,impacto_en_calidad_proxy
DES_00000001,2024-01-01T16:50:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,424.4045,420.0,1.0487,Bajo,22.136,MateriaPrimaVariable,0.0508
DES_00000002,2024-01-02T19:20:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,413.8696,420.0,-1.4596,Bajo,4.0,TransitorioArranque,0.02
DES_00000003,2024-01-04T18:18:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,presion_hidraulica,139.3442,128.0,8.8627,Alto,23.574,TransitorioArranque,0.5755
DES_00000004,2024-01-05T13:02:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.3085,3.2,3.3912,Bajo,13.19,MateriaPrimaVariable,0.2595
DES_00000005,2024-01-06T15:43:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,152.0758,128.0,18.8092,Critico,62.619,DerivaInstrumentacion,0.8982
DES_00000006,2024-01-06T18:06:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,414.7517,420.0,-1.2496,Bajo,9.323,DerivaInstrumentacion,0.122
DES_00000007,2024-01-10T05:36:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,414.837,420.0,-1.2293,Bajo,28.683,DerivaInstrumentacion,0.02
DES_00000008,2024-01-10T05:43:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,vibracion,3.5239,3.2,10.1205,Alto,72.873,InestabilidadControlPID,0.735
DES_00000009,2024-01-10T22:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,129.3591,128.0,1.0618,Bajo,15.51,DerivaInstrumentacion,0.2613
DES_00000010,2024-01-11T06:02:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,436.875,420.0,4.0179,Medio,40.103,TransitorioArranque,0.3829
DES_00000011,2024-01-11T06:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,455.6901,420.0,8.4976,Alto,43.84,TransitorioArranque,0.5375
DES_00000012,2024-01-11T22:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,132.3818,128.0,3.4233,Bajo,23.987,SetpointFueraBanda,0.1232
DES_00000013,2024-01-12T13:41:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.1301,3.2,-2.1846,Bajo,25.682,SetpointFueraBanda,0.292
