fecha,escenario,precio_energia_shock,presion_demanda_indice,disponibilidad_personal_indice,restriccion_operativa_indice
2024-01-01,Base,1.005,0.972,0.976,1.01
2024-01-01,ShockEnergia,1.332,1.068,0.949,1.062
2024-01-01,AltaDemanda,1.106,1.255,0.98,1.09
2024-01-01,RestriccionOperativa,1.074,1.03,0.869,1.267
2024-02-01,Base,0.995,1.01,0.997,0.956
2024-02-01,ShockEnergia,1.396,0.982,0.938,1.051
2024-02-01,AltaDemanda,1.103,1.281,0.93,1.102
2024-02-01,RestriccionOperativa,1.081,1.01,0.894,1.232
2024-03-01,Base,1.033,0.979,0.97,0.951
2024-03-01,ShockEnergia,1.35,0.999,0.939,1.071
2024-03-01,AltaDemanda,1.125,1.264,0.985,1.055
2024-03-01,RestriccionOperativa,1.077,1.078,0.853,1.26
2024-04-01,Base,0.983,1.005,0.971,1.026
2024-04-01,ShockEnergia,1.374,1.034,0.996,1.057
2024-04-01,AltaDemanda,1.133,1.221,0.942,1.04
2024-04-01,RestriccionOperativa,1.074,1.04,0.844,1.232
2024-05-01,Base,1.027,1.016,1.039,1.02
2024-05-01,ShockEnergia,1.367,1.055,0.994,1.051
2024-05-01,AltaDemanda,1.078,1.288,0.998,1.023
2024-05-01,RestriccionOperativa,1.104,1.025,0.864,1.269
2024-06-01,Base,1.034,0.982,0.989,1.017
2024-06-01,ShockEnergia,1.35,1.045,0.949,1.106
2024-06-01,AltaDemanda,1.089,1.238,0.93,1.032
2024-06-01,RestriccionOperativa,1.102,1.067,0.872,1.233
2024-07-01,Base,1.012,1.006,0.982,0.957
2024-07-01,ShockEnergia,1.345,1.003,0.939,1.126
2024-07-01,AltaDemanda,1.077,1.242,0.919,1.11
2024-07-01,RestriccionOperativa,1.088,1.074,0.878,1.252
2024-08-01,Base,1.017,1.018,1.007,1.029
2024-08-01,ShockEnergia,1.361,1.046,0.937,1.064
2024-08-01,AltaDemanda,1.101,1.29,0.985,1.103
2024-08-01,RestriccionOperativa,1.05,1.061,0.906,1.217
2024-09-01,Base,1.014,0.975,1.027,1.041
2024-09-01,ShockEnergia,1.336,1.001,1.006,1.075
2024-09-01,AltaDemanda,1.112,1.284,0.945,1.034
2024-09-01,RestriccionOperativa,1.049,1.013,0.849,1.255
2024-10-01,Base,1.032,0.984,0.983,0.97
2024-10-01,ShockEnergia,1.357,1.034,0.943,1.152
2024-10-01,AltaDemanda,1.086,1.21,0.935,1.056
2024-10-01,RestriccionOperativa,1.081,1.071,0.898,1.331
2024-11-01,Base,1.007,0.982,0.973,1.04
2024-11-01,ShockEnergia,1.401,1.036,0.94,1.08
2024-11-01,AltaDemanda,1.105,1.237,0.922,1.024
2024-11-01,RestriccionOperativa,1.085,1.075,0.899,1.262
2024-12-01,Base,1.015,0.964,0.957,0.976
2024-12-01,ShockEnergia,1.381,1.05,1.016,1.105
2024-12-01,AltaDemanda,1.139,1.233,0.945,1.026
2024-12-01,RestriccionOperativa,1.061,1.066,0.857,1.301
2025-01-01,Base,1.032,1.003,0.977,0.955
2025-01-01,ShockEnergia,1.334,1.008,0.997,1.142
2025-01-01,AltaDemanda,1.121,1.201,0.99,1.028
2025-01-01,RestriccionOperativa,1.089,1.015,0.837,1.238
2025-02-01,Base,1.026,1.049,1.002,0.98
2025-02-01,ShockEnergia,1.349,1.017,0.959,1.15
2025-02-01,AltaDemanda,1.076,1.209,0.99,1.081
2025-02-01,RestriccionOperativa,1.08,1.048,0.898,1.216
2025-03-01,Base,1.003,1.005,0.963,0.959
2025-03-01,ShockEnergia,1.403,1.07,1.001,1.116
2025-03-01,AltaDemanda,1.141,1.256,0.941,1.018
2025-03-01,RestriccionOperativa,1.064,1.085,0.885,1.247
2025-04-01,Base,1.005,0.999,0.957,1.018
2025-04-01,ShockEnergia,1.328,0.983,0.952,1.063
2025-04-01,AltaDemanda,1.095,1.248,0.993,1.039
2025-04-01,RestriccionOperativa,1.051,1.035,0.871,1.256
2025-05-01,Base,1.031,1.036,1.006,0.983
2025-05-01,ShockEnergia,1.365,0.994,0.966,1.111
2025-05-01,AltaDemanda,1.128,1.223,0.985,1.012
2025-05-01,RestriccionOperativa,1.06,1.061,0.84,1.274
2025-06-01,Base,1.024,1.033,1.015,1.004
2025-06-01,ShockEnergia,1.373,1.043,0.98,1.094
2025-06-01,AltaDemanda,1.139,1.209,0.978,1.089
2025-06-01,RestriccionOperativa,1.055,1.094,0.855,1.316
2025-07-01,Base,1.009,1.04,0.988,0.982
2025-07-01,ShockEnergia,1.369,1.035,0.948,1.144
2025-07-01,AltaDemanda,1.138,1.294,0.983,1.101
2025-07-01,RestriccionOperativa,1.067,1.03,0.895,1.341
2025-08-01,Base,1.001,1.009,1.019,0.961
2025-08-01,ShockEnergia,1.394,1.029,0.978,1.056
2025-08-01,AltaDemanda,1.095,1.202,0.984,1.02
2025-08-01,RestriccionOperativa,1.086,1.093,0.914,1.318
2025-09-01,Base,1.036,0.995,0.996,1.002
2025-09-01,ShockEnergia,1.365,1.046,0.982,1.077
2025-09-01,AltaDemanda,1.136,1.269,0.986,1.025
2025-09-01,RestriccionOperativa,1.052,1.081,0.881,1.216
2025-10-01,Base,1.032,0.966,0.962,0.959
2025-10-01,ShockEnergia,1.346,1.033,1.019,1.048
2025-10-01,AltaDemanda,1.104,1.307,0.981,1.035
2025-10-01,RestriccionOperativa,1.091,1.094,0.84,1.322
2025-11-01,Base,0.989,1.007,0.979,1.041
2025-11-01,ShockEnergia,1.344,1.017,0.95,1.054
2025-11-01,AltaDemanda,1.128,1.201,0.938,1.064
2025-11-01,RestriccionOperativa,1.077,1.099,0.902,1.23
2025-12-01,Base,1.027,0.961,1.002,0.981
2025-12-01,ShockEnergia,1.4,0.983,0.946,1.101
2025-12-01,AltaDemanda,1.096,1.246,0.92,1.1
2025-12-01,RestriccionOperativa,1.058,1.07,0.914,1.33
