mantenimiento_id,fecha_inicio,fecha_fin,planta_id,linea_id,equipo_id,tipo_mantenimiento,programado_flag,correctivo_flag,horas_mantenimiento,coste_mantenimiento_proxy,resultado_mantenimiento
MAN_00000001,2024-01-01T14:00:00,2024-01-01T15:50:02,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Predictivo,1,0,1.834,1712.62,Exitoso
MAN_00000002,2024-01-15T04:11:00,2024-01-15T04:41:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoInstrumentacion,0,1,0.5,348.61,Estabilizado
MAN_00000003,2024-01-23T01:34:00,2024-01-23T03:26:36,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoMecanico,0,1,1.877,1342.1,ParcialConSeguimiento
MAN_00000004,2024-01-28T03:20:00,2024-01-28T03:50:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoTermico,0,1,0.5,381.59,Estabilizado
MAN_00000005,2024-02-19T16:38:00,2024-02-19T18:00:33,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,CorrectivoTermico,0,1,1.376,709.19,Estabilizado
MAN_00000006,2024-03-09T07:00:00,2024-03-09T11:52:43,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Preventivo,1,0,4.879,4062.72,Exitoso
MAN_00000007,2024-03-15T14:00:00,2024-03-15T19:06:42,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Preventivo,1,0,5.112,3140.12,Exitoso
MAN_00000008,2024-03-17T20:09:00,2024-03-17T22:16:33,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoMecanico,0,1,2.126,1357.63,Estabilizado
MAN_00000009,2024-03-18T16:01:00,2024-03-18T17:06:38,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoMecanico,0,1,1.094,871.33,Estabilizado
MAN_00000010,2024-03-25T20:19:00,2024-03-25T21:41:45,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoTermico,0,1,1.379,991.43,Estabilizado
MAN_00000011,2024-04-02T11:31:00,2024-04-02T14:36:53,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoMecanico,0,1,3.098,2582.0,Estabilizado
MAN_00000012,2024-04-06T01:38:00,2024-04-06T02:11:03,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,0.551,424.45,Estabilizado
MAN_00000013,2024-05-09T21:00:00,2024-05-10T09:50:26,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Preventivo,1,0,12.841,10028.56,Exitoso
MAN_00000014,2024-05-12T01:00:00,2024-05-12T05:25:57,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Predictivo,1,0,4.433,3208.68,ExitosoConAjustes
MAN_00000015,2024-05-21T23:00:00,2024-05-22T02:10:34,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,OverhaulParcial,1,0,3.176,2657.5,PendienteOptimizar
MAN_00000016,2024-06-03T06:16:00,2024-06-03T07:03:05,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoInstrumentacion,0,1,0.785,524.72,Estabilizado
MAN_00000017,2024-06-04T16:39:00,2024-06-04T20:28:18,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoInstrumentacion,0,1,3.822,2973.52,ParcialConSeguimiento
MAN_00000018,2024-06-08T19:26:00,2024-06-08T20:30:27,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,CorrectivoTermico,0,1,1.074,583.76,ParcialConSeguimiento
MAN_00000019,2024-07-02T15:05:00,2024-07-02T18:39:43,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,3.579,2704.46,ParcialConSeguimiento
MAN_00000020,2024-07-04T02:38:00,2024-07-04T03:54:06,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoTermico,0,1,1.269,956.41,Estabilizado
MAN_00000021,2024-07-15T22:00:00,2024-07-16T02:30:57,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Preventivo,1,0,4.516,2950.62,Exitoso
MAN_00000022,2024-07-25T08:41:00,2024-07-25T11:34:39,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoTermico,0,1,2.894,1779.41,Recuperado
MAN_00000023,2024-08-01T22:00:00,2024-08-02T01:23:50,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,OverhaulParcial,1,0,3.397,2453.85,ExitosoConAjustes
MAN_00000024,2024-08-02T15:35:00,2024-08-02T17:32:29,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoTermico,0,1,1.958,1396.78,ParcialConSeguimiento
