parada_id,fecha_inicio,fecha_fin,planta_id,linea_id,equipo_id,tipo_parada,planificada_flag,causa_parada,duracion_horas,impacto_produccion_proxy,impacto_energia_proxy
PAR_00000001,2024-01-01T14:00:00,2024-01-01T16:20:03.402081934,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,InspeccionSeguridadReglamentaria,2.334,16.792,190.717
PAR_00000002,2024-01-15T04:11:00,2024-01-15T04:32:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,InestabilidadTorque,0.35,3.131,64.265
PAR_00000003,2024-01-23T01:34:00,2024-01-23T03:03:12.980094291,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,InestabilidadTorque,1.487,12.793,152.687
PAR_00000004,2024-01-28T03:20:00,2024-01-28T03:45:41.457613699,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,0.428,3.034,22.537
PAR_00000005,2024-02-19T16:38:00,2024-02-19T17:58:32.907969204,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,NoPlanificada,0,DesalineacionRodillos,1.342,13.018,773.613
PAR_00000006,2024-03-09T07:00:00,2024-03-09T11:04:02.880833797,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,MantenimientoPreventivoProgramado,4.067,38.731,303.849
PAR_00000007,2024-03-15T14:00:00,2024-03-15T18:56:16.524035196,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,MantenimientoPreventivoProgramado,4.938,50.301,1075.613
PAR_00000008,2024-03-17T20:09:00,2024-03-17T22:28:54.583742701,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,AtascoMaterial,2.332,19.198,181.042
PAR_00000009,2024-03-18T16:01:00,2024-03-18T17:04:53.421228324,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,1.065,9.411,44.303
PAR_00000010,2024-03-25T20:19:00,2024-03-25T21:39:39.219020286,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,InestabilidadTorque,1.344,9.659,52.763
PAR_00000011,2024-04-02T11:31:00,2024-04-02T13:57:01.887973393,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,2.434,23.596,140.016
PAR_00000012,2024-04-06T01:38:00,2024-04-06T02:04:33.979318353,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,DesalineacionRodillos,0.443,3.965,71.538
