iniciativa_id,planta_id,linea_id,categoria_iniciativa,tipo_iniciativa,quick_win_flag,initiative_class,mandatory_flag,compliance_flag,reliability_flag,financial_maturity_stage,financial_use_level,committee_claim_allowed_flag,committee_claim_caveat,capex_estimado,gross_technical_value,avoided_loss,net_captured_value,downside_adjusted_annual,annual_saving_proxy,discounted_value,downside_adjusted_value,cost_of_delay_12m,value_at_risk_95,screening_var_95_npv,robust_risk_metric_candidate_npv,npv_base,npv_risk_adjusted,irr_proxy_pct,screening_irr_pct,formal_irr_candidate_pct,formal_irr_candidate_flag,payback_months,implementation_burden,strategic_relevance_score,capital_efficiency,energy_saving_score,operational_impact_score,emissions_reduction_score,implementation_feasibility_score,payback_score,strategic_priority_score,financial_resilience_score,uncertainty_index,portfolio_objective_score,score_scaling_method,score_scale_version,component_score_comparability_tag,improvement_priority_comparability_tag,portfolio_objective_comparability_tag,objective_value_eur,improvement_priority_index,initiative_tier,selected_portfolio_flag,selection_variable_x,selection_model,optimizer_status,optimality_degree,portfolio_wave,portfolio_constraint_reason,portfolio_npv_contribution,portfolio_downside_value_contribution,recommended_sequence,main_business_case,decision_rule
INI_0000013,PLT_BIZ,PLT_BIZ_L04,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,24582.39,780552.2505322103,174949.48382827084,550195.0349283672,395545.6142621045,550195.0349283672,2389103.6185039533,1710662.121964458,514480.8422123147,190233.44471414704,826800.6432750374,1033500.8040937968,3356707.878257339,2389103.6185039533,250.0,250.0,0.0,0.0,3.0,41.16679436927532,62.48100000000001,81.91617935997158,55.50139490469813,0.0,100.0,86.11105790169084,100.0,56.29503238866398,90.83580923354188,47.31993567249626,83.66789210506462,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1979896.639987292,62.708107389746715,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2389103.6185039533,1710662.121964458,OLA_01,Optimización incremental orientada a valor,ejecutar ahora
INI_0000037,PLT_CAN,PLT_CAN_L02,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,16798.48,732080.3200149353,168214.7817249347,509222.47218051273,363967.4341164758,509222.47218051273,2217142.3560490203,1579913.6811564506,476167.88543898053,178419.58444996417,775456.3208518027,969320.4010647536,3121670.91230142,2217142.3560490203,250.0,250.0,0.0,0.0,3.0,35.254348363803274,51.45525,110.9058763235378,50.272449506615594,0.0,100.0,98.15791040397086,100.0,39.083090080971665,85.05262307864535,52.454367914819734,82.40054587179122,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1828159.8342652768,61.35743074872992,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2217142.3560490203,1579913.6811564506,OLA_02,Optimización incremental orientada a valor,ejecutar ahora
INI_0000017,PLT_ALA,PLT_ALA_L01,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,27344.07,768409.8568769569,187911.37438264576,537069.2245093018,384085.1290592973,537069.2245093018,2328759.4760179035,1657623.7018475952,502207.0527914418,187273.119684569,813940.1937804392,1017425.2422255492,3269639.956559406,2328759.4760179035,250.0,250.0,0.0,0.0,3.0,41.4219502901118,50.52574999999999,71.2705618989273,53.62663432883234,0.0,100.0,86.00474293467565,100.0,35.64311639676112,88.34660964804212,48.60598062195608,77.75843106935702,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1919070.736219752,60.08132231841875,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2328759.4760179035,1657623.7018475952,OLA_03,Optimización incremental orientada a valor,ejecutar ahora
INI_0000020,PLT_ALA,PLT_ALA_L01,TransformacionIndustrial,CAPEXTransformacional,0,discretionary,0,0,0,business_case_candidate,business case candidate (no final),1,Candidato para comité con caveat: requiere business case corporativo auditado.,961311.85,2745779.9445109023,644914.899710691,1105815.4869571442,793399.5898692638,1105815.4869571442,2984899.8609188516,1870012.8962247209,951765.7077384776,378446.7884847972,1272026.5653131283,1590033.2066414105,8170284.307898378,2984899.8609188516,134.3809189355077,134.3809189355077,66.68775087749489,1.0,25.0,91.55331459484562,79.922,2.2469575804436865,100.0,3.86459842053756,100.0,9.204786627147657,36.666666666666664,79.54423481781375,91.01559219264831,2.7973434686871457,76.14725231171414,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,2263228.60984118,53.60812115266487,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_2,seleccionada_modelo_optimizacion,2984899.8609188516,1870012.8962247209,OLA_04,Candidato business case (requiere cierre financiero corporativo),ejecutar en siguiente ola
INI_0000039,PLT_CAN,PLT_CAN_L02,OptimizacionProceso,ControlAvanzado,0,discretionary,0,0,0,pre_feasibility,pre-feasibility,0,No committee-grade: usar solo para screening/pre-feasibility.,241518.37,1117343.6691908035,300009.19327400485,680609.9015697105,488456.0635150582,680609.9015697105,2607142.5319021717,1802891.6322983184,623962.0096962703,231983.88724635105,954218.4696075148,1192773.0870093934,4316902.979409861,2607142.5319021717,250.0,250.0,150.7504532152831,1.0,9.0,61.53164701406804,67.1255,8.69353853792481,70.82245046872531,1.2706629534096474,100.0,59.767936174693865,90.0,62.288022267206486,93.2777900842767,34.57815303924852,73.99008241326631,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,2107661.7179562896,61.19199090731916,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2607142.5319021717,1802891.6322983184,OLA_05,Ahorro energético de captura rápida,ejecutar ahora
INI_0000009,PLT_BIZ,PLT_BIZ_L03,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,21674.09,663648.8447810863,139828.8461906137,468249.028109782,337139.3002390431,468249.028109782,2032517.7072620424,1457344.0040286707,437854.1045510941,161743.01305289054,702971.3854856924,878714.2318571155,2861073.330976264,2032517.7072620424,250.0,250.0,0.0,0.0,3.0,35.86504323727173,50.60275000000001,79.30884989929655,45.01617032063554,0.0,100.0,97.90345420669232,100.0,35.74247267206478,80.06768619890555,59.70286145143076,72.19046488865344,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1686506.2982973491,59.87290522724692,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2032517.7072620424,1457344.0040286707,OLA_06,Optimización incremental orientada a valor,ejecutar ahora
INI_0000019,PLT_ALA,PLT_ALA_L01,OptimizacionProceso,ControlAvanzado,0,discretionary,0,0,0,pre_feasibility,pre-feasibility,0,No committee-grade: usar solo para screening/pre-feasibility.,256036.62,1177454.4724045466,336007.0291271286,676765.2915070514,480676.1594010836,676765.2915070514,2576532.8463481227,1755810.9575981868,620437.3906514072,235744.89086053023,969693.261181674,1212116.5764770922,4474695.928926634,2576532.8463481227,248.61090081682948,248.61090081682948,213.80075458742567,1.0,10.0,61.67154838223735,49.754,8.015021290682265,70.33663659388198,0.0,100.0,52.66437831295667,86.66666666666667,34.64729554655871,90.58563688147994,33.0306738818326,69.33595835249967,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,2054141.4702511705,56.34547395830415,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2576532.8463481227,1755810.9575981868,OLA_07,Ahorro energético de captura rápida,ejecutar ahora
INI_0000021,PLT_ALA,PLT_ALA_L02,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,25771.92,652429.2085184843,150708.8200693768,462504.25210726,333003.06151722715,462504.25210726,2003217.7496908945,1435100.6421774444,432482.2327447925,159007.55661332322,691087.2390759164,863859.0488448956,2808078.944903012,2003217.7496908945,250.0,250.0,0.0,0.0,3.0,36.28004225632633,48.34875,65.39793514772255,43.98780323809143,0.0,100.0,97.73053794875293,100.0,32.834043522267194,79.14016349168735,60.89127609240837,68.58734954960183,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1661504.0011085842,59.33073322738365,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2003217.7496908945,1435100.6421774444,OLA_08,Optimización incremental orientada a valor,ejecutar ahora
INI_0000015,PLT_BIZ,PLT_BIZ_L04,OptimizacionProceso,ControlAvanzado,0,discretionary,0,0,0,pre_feasibility,pre-feasibility,0,No committee-grade: usar solo para screening/pre-feasibility.,359648.18,1188843.9338468025,311052.58763989416,663469.829384821,475930.94661307114,663469.829384821,2417273.7516399594,1632338.53147026,608248.5240973122,226703.76716348465,932510.859946949,1165638.5749336863,4485144.349700745,2417273.7516399594,205.3339560912404,205.3339560912404,155.6520086248227,1.0,12.0,62.485927365675785,67.62775,5.352860647503504,68.76759700506942,0.0,100.0,40.91108456985731,80.0,62.93609615384616,84.92106672107474,36.7489140053051,67.25692187235065,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1916663.8348714071,56.07172236860431,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2417273.7516399594,1632338.53147026,OLA_09,Ahorro energético de captura rápida,ejecutar ahora
INI_0000033,PLT_CAN,PLT_CAN_L01,EficienciaEnergetica,QuickWinOperativo,1,discretionary,0,0,0,screening,screening financiero,0,No committee-grade: usar solo para screening/pre-feasibility.,39381.48,707117.8045200378,180246.9676566915,502069.81681373896,360934.96456110536,502069.81681373896,2163180.9118857062,1544027.34529853,469479.5223612746,172335.06971480878,749018.1973017096,936272.746627137,3022885.308280886,2163180.9118857062,250.0,250.0,0.0,0.0,3.0,37.29619776166508,37.98425,45.88225074440591,48.78765781943625,0.0,100.0,97.30713982152844,100.0,14.234737854251012,83.68616167656823,55.09818026982904,67.01415386152054,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,contextual_comparable_inter_release,contextual_comparable_inter_release,1788836.5636002263,58.478511908172905,Tier 3,1,1,branch_and_bound_binary_selection,solved_exact,exact_for_formulation,OLA_1,seleccionada_modelo_optimizacion,2163180.9118857062,1544027.34529853,OLA_10,Optimización incremental orientada a valor,ejecutar ahora
