fecha,planta_id,linea_id,familia_proceso,production_volume,planned_vs_actual_utilization,sec,sec_vs_target,sec_vs_benchmark,cost_energy_per_unit,emissions_per_unit,oee_synthetic,availability_rate,performance_loss_proxy,quality_loss_proxy,stop_density,process_deviation_density,loss_value_proxy,thermal_loss_proxy,process_loss_proxy,line_criticality_weight,trend_sec_7d,trend_oee_7d,sec_benchmark_gap,sec_gap_persistencia_14d,process_deviation_risk_score,process_deviation_risk_scaling_method,process_deviation_risk_scale_version,process_deviation_risk_comparability_tag,loss_stop_proxy,loss_process_proxy,loss_thermal_proxy
2024-01-01,PLT_ALA,PLT_ALA_L01,Laminacion,195.3936,1.143026515151515,409.3370418093211,-149.14295819067894,-148.1879581906789,3.881844269520663,91.59141804030428,0.9760670557233334,1.0,0.0,0.0295363333333332,0.0,0.0051178748945717,13568.713857408,0.0,6074.862993719182,0.8,0.0,0.0,-148.1879581906789,,19.887020675190797,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,6074.862993719182,0.0
2024-01-02,PLT_ALA,PLT_ALA_L01,Laminacion,188.9595,1.1834848484848486,430.7317344366334,-127.7482655633666,-126.79326556336656,4.170543496432068,96.57527332576558,1.0051480352266666,1.0,0.0,0.0348676666666666,0.0,0.0158764179625792,14071.042155318,0.0,9226.92200471391,0.8,0.0,0.0,-126.79326556336656,,39.35691861053542,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,9226.92200471391,0.0
2024-01-03,PLT_ALA,PLT_ALA_L01,Laminacion,187.6668,1.1058143939393938,428.24828203307567,-130.23171796692435,-129.2767179669243,3.919645587154761,95.98960023829466,0.9409591619866666,1.0,0.0268833333333334,0.0333666666666667,0.0,0.0159857790509562,13992.527454314,0.0,9014.61611702931,0.8,9.455620111877248,-0.0175539468683335,-129.2767179669243,,39.35093048119623,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,9014.61611702931,0.0
2024-01-04,PLT_ALA,PLT_ALA_L01,Laminacion,193.165,1.126034090909091,414.9990278775378,-143.48097212246222,-142.52597212246218,4.004742624606677,92.66123055418942,0.96398723534,1.0,0.00909,0.0271793333333333,0.0,0.0051769212849118,13675.089276068,0.0,5852.568790479608,0.8,1.4502505801091694,-0.0100428334390003,-142.52597212246218,,18.762179546415297,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,5852.568790479608,0.0
2024-01-05,PLT_ALA,PLT_ALA_L01,Laminacion,194.1278,1.1050984848484848,404.93011637464633,-153.5498836253537,-152.59488362535365,4.201941725235922,90.87850199713796,0.9394460357533334,1.0,0.0275133333333332,0.0340416666666668,0.0,0.0051512457257538,13734.740949311998,0.0,6697.516630997911,0.8,-2.4546557428445728,-0.0114402839826666,-152.59488362535365,,23.539005493392683,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,6697.516630997911,0.0
2024-01-06,PLT_ALA,PLT_ALA_L01,Laminacion,195.009,1.118132575757576,397.71399115153463,-160.76600884846528,-159.81100884846535,3.2059833352421805,89.21528139726884,0.9507686097,1.0,0.0160433333333331,0.0335516666666667,0.0,0.0102559369054761,12357.99407503,0.0,6919.440302515144,0.8,-4.250553189440876,-0.0085877187195237,-159.81100884846535,,30.56207797726178,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,6919.440302515144,0.0
2024-01-07,PLT_ALA,PLT_ALA_L01,Laminacion,198.8485,1.1421856060606062,384.7940287115323,-173.68597128846773,-172.73097128846769,2.9806800442734347,86.18272971634183,0.9780490970533332,1.0,0.0,0.0269933333333333,0.0,0.0,11636.892710053,0.0,4057.687513889562,0.8,-5.820810411499763,-0.0037259233320237,-172.73097128846769,-147.4172539436741,10.62083333333331,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,4057.687513889562,0.0
2024-01-08,PLT_ALA,PLT_ALA_L01,Laminacion,189.4248,1.0801666666666667,420.30561233767986,-138.17438766232004,-137.21938766232012,4.508992672541298,93.50123373497028,0.9246539729933332,1.0,0.0494533333333332,0.0272296666666665,0.0,0.0,13863.935770874,0.0,4862.9083343518505,0.8,-4.83828248806966,-0.0064471765073809,-137.21938766232012,-146.14252065850485,12.181494047618935,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,4862.9083343518505,0.0
2024-01-09,PLT_ALA,PLT_ALA_L01,Laminacion,195.07650000000004,1.149628787878788,402.9960824867321,-155.48391751326778,-154.52891751326786,4.134887123166718,90.48927205480923,0.9831004825666666,1.0,0.0,0.0283796666666665,0.0,0.0051261940828341,13398.468454785,0.0,5864.710547010847,0.8,-3.045697049352156,0.0030843035123809,-154.52891751326786,-147.0743425312563,19.176582790917717,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,5864.710547010847,0.0
2024-01-10,PLT_ALA,PLT_ALA_L01,Laminacion,196.2421,1.1172537878787878,411.6328476044075,-146.8471523955925,-145.89215239559246,3.892721171922693,92.19149718638356,0.94978204928,1.0,0.0168166666666667,0.0338506666666668,0.0,0.0050957465294144,13843.598447565995,0.0,6715.938426020794,0.8,0.3080361639616641,0.000663524955,-145.89215239559246,-146.95612351768992,23.030762651264546,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,6715.938426020794,0.0
2024-01-11,PLT_ALA,PLT_ALA_L01,Laminacion,196.4215,1.16642803030303,414.7560656736569,-143.72393432634317,-142.76893432634313,4.762775830481579,93.01337669247005,0.9942293184766666,1.0,0.0,0.031307,0.0,0.0,14428.617633573002,0.0,5575.740891001835,0.8,2.6970576634991894,0.0059795754586905,-142.76893432634313,-146.5754699548402,13.316875,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,5575.740891001835,0.0
2024-01-12,PLT_ALA,PLT_ALA_L01,Laminacion,190.1045,1.1006628787878785,431.17816496523847,-127.30183503476157,-126.34683503476153,3.857803400031788,96.78310760660584,0.9407444111,1.0,0.0314166666666668,0.028864,0.0,0.0052602647491248,13929.651556071,0.0,6184.26342277916,0.8,5.415851094003183,0.0009791401190476,-126.34683503476153,-144.88975037816698,20.578016171306253,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,6184.26342277916,0.0
2024-01-13,PLT_ALA,PLT_ALA_L01,Laminacion,191.6666,1.1082386363636365,409.1166947486192,-149.36330525138067,-148.40830525138074,4.311390672084393,91.96215668248932,0.9418986063033336,1.0,0.02475,0.0341716666666668,0.0,0.0,13029.308994552,0.0,5361.587795651905,0.8,3.802610234046517,-0.0023264914330952,-148.40830525138074,-145.16040844533725,15.814434523809606,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,5361.587795651905,0.0
2024-01-14,PLT_ALA,PLT_ALA_L01,Laminacion,194.6997,1.1060151515151515,403.14073088504045,-155.33926911495956,-154.38426911495952,4.184019315476873,90.12668483824062,0.9479077282566668,1.0,0.0267066666666666,0.0260919999999998,0.0,0.0,12170.648652108,0.0,4147.817913881655,0.8,-0.7038608026183272,-0.0007742901755951,-154.38426911495952,-145.81925563602456,10.820547619047492,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,4147.817913881655,0.0
2024-01-15,PLT_ALA,PLT_ALA_L01,Laminacion,196.1008,1.135060606060606,410.16190262768015,-148.31809737231987,-147.36309737231983,4.47819485067174,91.88734931219048,0.97037589012,1.0,0.0011466666666667,0.0284256666666666,0.0,0.0,13666.085905614,0.0,4936.526187052958,0.8,-0.0402194264616899,-0.0033661832699998,-147.36309737231983,-145.76033700614178,11.54880357142853,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,4936.526187052958,0.0
2024-01-16,PLT_ALA,PLT_ALA_L01,Laminacion,189.3944,1.1400643939393942,431.3730350064017,-127.10696499359818,-126.15196499359826,4.759014166309842,96.6571337906506,0.96751303509,1.0,0.0,0.0356106666666664,0.0,0.0052799871590712,14223.057573804,0.0,7158.367316952663,0.8,0.7855286440654006,0.0004517649240476,-126.15196499359826,-145.7145298225869,23.9266474052733,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,7158.367316952663,0.0
2024-01-17,PLT_ALA,PLT_ALA_L01,Laminacion,192.3025,1.1770530303030304,428.1553479215376,-130.3246520784624,-129.36965207846237,4.055042958837572,96.05855051286385,1.0087544249133331,1.0,0.0,0.0260576666666665,0.0,0.0,14531.711448644002,0.0,4948.114351940739,0.8,1.4868855251796482,0.0044853518252381,-129.36965207846237,-145.72116797341104,10.03604166666656,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,4948.114351940739,0.0
2024-01-18,PLT_ALA,PLT_ALA_L01,Laminacion,201.858,1.1443181818181818,403.37970546521825,-155.10029453478188,-154.14529453478173,4.112944416139436,90.44954522486104,0.9778991007533334,1.0,0.0,0.0286133333333333,0.0,0.0,14568.213046292,0.0,5286.31890739783,0.8,-0.6102060011736518,0.0094564647504762,-154.14529453478173,-146.55111957429102,11.633333333333312,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,5286.31890739783,0.0
2024-01-19,PLT_ALA,PLT_ALA_L01,Laminacion,196.689,1.129371212121212,417.9326716148116,-140.5473283851884,-139.59232838518835,4.601963700121316,93.44212777532044,0.9675180008666664,1.0,0.0061533333333333,0.0265453333333333,0.0,0.0050841684079943,14752.746016807,0.0,6211.410510571792,0.8,1.6042616090282087,0.0062578379813095,-139.59232838518835,-145.62236562856492,18.142895469134285,anchored_reference_linear,anchored_reference_v1,absolute_comparable_inter_release,0.0,6211.410510571792,0.0
