fecha,turno,planta_id,linea_id,producto_familia,unidades_producidas,toneladas_producidas_proxy,horas_planificadas,horas_operativas,scrap_pct,reproceso_pct,velocidad_media_proceso,utilization_rate
2024-01-01,A,PLT_BIZ,PLT_BIZ_L01,Conduccion,757,56.7784,8.0,8.0,2.9806,1.4994,134.0106,0.96402
2024-01-01,B,PLT_BIZ,PLT_BIZ_L01,Mecanizado,589,35.9524,8.0,5.666,3.4621,1.7547,108.9105,0.64402
2024-01-01,C,PLT_BIZ,PLT_BIZ_L01,OCTG,603,54.2856,8.0,8.0,3.4775,1.4006,128.0412,1.02316
2024-01-02,A,PLT_BIZ,PLT_BIZ_L01,OCTG,609,54.814,8.0,8.0,2.4436,1.4578,128.5047,1.04101
2024-01-02,B,PLT_BIZ,PLT_BIZ_L01,Conduccion,709,53.1505,8.0,8.0,2.2933,1.3417,132.4455,0.98729
2024-01-02,C,PLT_BIZ,PLT_BIZ_L01,OCTG,617,55.5351,8.0,8.0,3.6938,1.4139,128.738,1.05
2024-01-03,A,PLT_BIZ,PLT_BIZ_L01,Conduccion,738,55.3562,8.0,8.0,2.7858,1.7531,132.9286,0.92468
2024-01-03,B,PLT_BIZ,PLT_BIZ_L01,OCTG,649,58.4222,8.0,8.0,3.3621,1.8433,126.0042,0.94469
2024-01-03,C,PLT_BIZ,PLT_BIZ_L01,Mecanizado,846,51.6166,8.0,8.0,4.1977,1.3227,121.9373,1.03966
2024-01-04,A,PLT_BIZ,PLT_BIZ_L01,Conduccion,726,54.4509,8.0,8.0,3.6278,1.6538,136.375,1.05
2024-01-04,B,PLT_BIZ,PLT_BIZ_L01,OCTG,632,56.8602,8.0,8.0,3.2822,2.2439,121.5555,0.96748
2024-01-04,C,PLT_BIZ,PLT_BIZ_L01,Conduccion,734,55.0198,8.0,8.0,4.0216,1.4413,134.8675,0.99518
2024-01-05,A,PLT_BIZ,PLT_BIZ_L01,Conduccion,793,59.489,8.0,8.0,2.0374,1.5659,133.9386,1.05
2024-01-05,B,PLT_BIZ,PLT_BIZ_L01,Mecanizado,892,54.4047,8.0,8.0,3.02,1.5644,120.8388,0.99508
2024-01-05,C,PLT_BIZ,PLT_BIZ_L01,Conduccion,724,54.2879,8.0,8.0,3.2711,1.4395,134.8629,0.99502
